OBJECTID,GRIZZLY_BEAR_POP_UNIT_ID,GRIZZLY_BEAR_POPULATION_TAG,POPULATION_NAME,DISPLAY_NAME,STATUS,WITHIN_BC_IND,VERSION_NAME,VERSION_YEAR_MODIFIED,WILDLIFE_MGMT_UNIT_ID,REGION_RESPONSIBLE,REGION_RESPONSIBLE_NAME,GAME_MANAGEMENT_ZONE_ID,GAME_MANAGEMENT_ZONE_NAME,National_Park,FID_WMU_BC,GBPU_MU_LEH_uniqueID,WMU_linkID,COUNTER_ID,MU,LEH_Zone,Closed_to_Hunting_2012,Closed_to_Hunting_2015,AREA_KM2,AREA_KM2_noWaterIce,EST_POP_2015,EST_POP_2018,EST_POP_DENSITY_2015,EST_POP_DENSITY_2018,GIS_File_Version_Date
1,777,84,Tatshenshini,Tatshenshini,Viable,Y,2015,,6-27,6,Skeena,6f,Atlin,,119,3,119,381,6-27, ,N,N,6790.531914,5096.290546,113,113,22.1729908,22.1729908,2020-01-21
2,778,73,Cassiar,Cassiar,Viable,Y,2015,,6-25,6,Skeena,6f,Atlin,,120,4,120,375,6-25,6-25B,N,N,6079.633169,5578.501868,84,84,15.05780602,15.05780602,2020-01-21
3,778,73,Cassiar,Cassiar,Viable,Y,2015,,6-24,6,Skeena,6e,Stikine,,122,5,122,369,6-24, ,N,N,9386.913439,9271.714803,179,179,19.30603027,19.30603027,2020-01-21
4,778,73,Cassiar,Cassiar,Viable,Y,2015,,6-23,6,Skeena,6e,Stikine,,123,6,123,366,6-23, ,N,N,11059.73825,10834.07205,167,167,15.41433334,15.41433334,2020-01-21
5,779,51,Taiga,Taiga,Viable,Y,2015,,7-46,7,Omineca,7Pe,Fort Nelson,,148,7,148,538,7-46, ,Y,Y,6143.768152,6123.903362,12,12,1.959534526,1.959534526,2020-01-21
6,779,51,Taiga,Taiga,Viable,Y,2015,,7-55,7,Omineca,7Pe,Fort Nelson,,191,8,191,553,7-55, ,Y,Y,18119.02148,17782.22871,30,30,1.687077641,1.687077641,2020-01-21
7,779,51,Taiga,Taiga,Viable,Y,2015,,7-56,7,Omineca,7Pe,Fort Nelson,,192,9,192,555,7-56, ,Y,Y,15897.94786,15753.93381,32,32,2.031238794,2.031238794,2020-01-21
8,779,51,Taiga,Taiga,Viable,Y,2015,,7-47,7,Omineca,7Pe,Fort Nelson,,195,10,195,539,7-47, ,Y,Y,9884.881328,9837.327973,20,20,2.033072472,2.033072472,2020-01-21
9,780,52,Hyland,Hyland,Viable,Y,2015,,7-53,7,Omineca,7Pd,Liard,,187,11,187,549,7-53, ,N,N,9859.401039,9810.780485,98,98,9.989011765,9.989011765,2020-01-21
10,780,52,Hyland,Hyland,Viable,Y,2015,,7-54,7,Omineca,7Pd,Liard,,189,12,189,551,7-54, ,N,N,7516.635611,7409.810714,133,133,17.94917679,17.94917679,2020-01-21
11,781,55,Muskwa,Muskwa,Viable,Y,2015,,7-52,7,Omineca,7Pd,Liard,,188,13,188,546,7-52, ,N,N,17527.01183,17328.84252,459,459,26.48763084,26.48763084,2020-01-21
12,781,55,Muskwa,Muskwa,Viable,Y,2015,,7-51,7,Omineca,7Pd,Liard,,190,14,190,545,7-51, ,N,N,18490.99202,17862.49016,381,381,21.32961273,21.32961273,2020-01-21
13,782,54,Taku,Taku,Viable,Y,2015,,6-26,6,Skeena,6f,Atlin,,121,15,121,377,6-26, ,N,N,19007.92574,16754.38973,354,354,21.12879181,21.12879181,2020-01-21
14,782,54,Taku,Taku,Viable,Y,2015,,6-22,6,Skeena,6e,Stikine,,124,16,124,359,6-22, ,N,N,13334.87744,10993.83745,222,222,20.19313049,20.19313049,2020-01-21
15,783,1,Rocky,Rocky,Viable,Y,2015,,7-36,7,Omineca,7Pc,Northeast Rockies,,147,17,147,514,7-36, ,N,N,3389.433083,3095.981176,36,36,11.62797737,11.62797737,2020-01-21
16,783,1,Rocky,Rocky,Viable,Y,2015,,7-44,7,Omineca,7Pb,North Peace,,150,18,150,535,7-44, ,N,N,2369.068573,2361.179309,24,24,10.1644125,10.1644125,2020-01-21
17,783,1,Rocky,Rocky,Viable,Y,2015,,7-35,7,Omineca,7Pb,North Peace,,153,19,153,513,7-35, ,N,N,2375.507652,2352.955026,23,23,9.774942398,9.774942398,2020-01-21
18,783,1,Rocky,Rocky,Viable,Y,2015,,7-49,7,Omineca,7Pe,Fort Nelson,,193,20,193,541,7-49, ,N,N,11030.04687,10937.06895,108,108,9.874674797,9.874674797,2020-01-21
19,783,1,Rocky,Rocky,Viable,Y,2015,,7-50,7,Omineca,7Pc,Northeast Rockies,,200,21,200,544,7-50, ,N,N,6807.037089,6594.512617,137,137,20.77484894,20.77484894,2020-01-21
20,783,1,Rocky,Rocky,Viable,Y,2015,,7-42,7,Omineca,7Pc,Northeast Rockies,,201,22,201,533,7-42, ,N,N,6065.820764,5982.830097,120,120,20.05739784,20.05739784,2020-01-21
21,783,1,Rocky,Rocky,Viable,Y,2015,,7-57,7,Omineca,7Pc,Northeast Rockies,,202,23,202,556,7-57, ,N,N,2522.791307,2515.430271,52,52,20.67240715,20.67240715,2020-01-21
22,783,1,Rocky,Rocky,Viable,Y,2015,,7-58,7,Omineca,7Pc,Northeast Rockies,,203,24,203,557,7-58, ,N,N,788.2852125,786.0895737,13,13,16.53755569,16.53755569,2020-01-21
23,783,1,Rocky,Rocky,Viable,Y,2015,,7-43,7,Omineca,7Pc,Northeast Rockies,,204,25,204,534,7-43, ,N,N,3033.44181,3032.657182,25,25,8.243596077,8.243596077,2020-01-21
24,784,2,Alta,Alta,Viable,Y,2015,,7-45,7,Omineca,7Pb,North Peace,,149,26,149,536,7-45, ,N,N,6213.850267,6195.390922,62,62,10.00743961,10.00743961,2020-01-21
25,784,2,Alta,Alta,Viable,Y,2015,,7-48,7,Omineca,7Pe,Fort Nelson,,194,27,194,540,7-48, ,N,N,7042.262141,6985.083568,70,70,10.02135468,10.02135468,2020-01-21
26,785,56,Spatsizi,Spatsizi,Viable,Y,2015,,6-20,6,Skeena,6e,Stikine,,127,29,127,345,6-20, ,Y,Y,430.5723432,409.1447716,14,14,34.21771622,34.21771622,2020-01-21
27,786,83,Edziza-Lower Stikine,Edziza-Lower Stikine,Viable,Y,2015,,6-21,6,Skeena,6e,Stikine,,126,30,126,355,6-21,6-21A,N,N,2652.947596,2457.765217,72,72,29.29490471,29.29490471,2020-01-21
28,787,3,Finlay-Ospika,Finlay-\Ospika,Viable,Y,2015,,7-40,7,Omineca,7Oe,Upper Finlay,,196,31,196,525,7-40, ,N,N,7524.937882,7383.881463,216,216,29.2529068,29.2529068,2020-01-21
29,787,3,Finlay-Ospika,Finlay-\Ospika,Viable,Y,2015,,7-41,7,Omineca,7Oe,Upper Finlay,,197,32,197,532,7-41, ,N,N,7939.880055,7760.355869,208,208,26.80289459,26.80289459,2020-01-21
30,787,3,Finlay-Ospika,Finlay-\Ospika,Viable,Y,2015,,7-39,7,Omineca,7Oe,Upper Finlay,,198,33,198,517,7-39, ,N,N,8817.168979,8650.627471,370,370,42.7714653,42.7714653,2020-01-21
31,787,3,Finlay-Ospika,Finlay-\Ospika,Viable,Y,2015,,7-37,7,Omineca,7Oe,Upper Finlay,,199,34,199,515,7-37, ,N,N,6473.526145,6054.73699,177,177,29.23330879,29.23330879,2020-01-21
32,788,59,Upper Skeena-Nass,Upper \Skeena-\Nass,Viable,Y,2015,,6-18,6,Skeena,6d,Upper Skeena,,128,35,128,329,6-18, ,N,N,6626.012439,6537.034789,294,294,44.97451782,44.97451782,2020-01-21
33,788,59,Upper Skeena-Nass,Upper \Skeena-\Nass,Viable,Y,2015,,6-17,6,Skeena,6d,Upper Skeena,,129,36,129,325,6-17, ,N,N,10371.97357,9545.770732,461,461,48.29364014,48.29364014,2020-01-21
34,790,62,Stewart,Stewart,Viable,Y,2015,,6-16,6,Skeena,6b,North Coast,,132,37,132,321,6-16,6-16A,N,N,2959.375188,1884.588435,70,70,37.14338684,37.14338684,2020-01-21
35,790,62,Stewart,Stewart,Viable,Y,2015,,6-14,6,Skeena,6b,North Coast,,133,38,133,309,6-14,6-16B,N,N,5163.74876,3952.673612,185,185,46.80376434,46.80376434,2020-01-21
36,791,5,Omineca,Omineca,Viable,Y,2015,,7-38,7,Omineca,7Od,Omineca,,155,39,155,516,7-38, ,N,N,13071.83964,12688.63789,308,308,24.27368546,24.27368546,2020-01-21
37,791,5,Omineca,Omineca,Viable,Y,2015,,7-27,7,Omineca,7Od,Omineca,,156,40,156,501,7-27, ,N,N,5659.034959,5324.731673,37,37,6.948707104,6.948707104,2020-01-21
38,791,5,Omineca,Omineca,Viable,Y,2015,,7-29,7,Omineca,7Od,Omineca,,157,41,157,503,7-29, ,N,N,3606.775343,3246.405414,18,18,5.544593811,5.544593811,2020-01-21
39,791,5,Omineca,Omineca,Viable,Y,2015,,7-28,7,Omineca,7Od,Omineca,,159,42,159,502,7-28, ,N,N,7717.925272,7486.027031,39,39,5.20970583,5.20970583,2020-01-21
40,792,63,Cranberry,Cranberry,Viable,Y,2015,2015,6-30,6,Skeena,6d,Upper Skeena,,130,43,130,399,6-30,6-15C,N,N,2412.101692,2360.1386,74,74,31.35409164,31.35409164,2020-01-21
41,792,63,Cranberry,Cranberry,Viable,Y,2015,2015,6-15,6,Skeena,6b,North Coast,,134,44,134,315,6-15,6-15C,N,N,2167.161587,2140.992625,64,64,29.89267731,29.89267731,2020-01-21
42,793,61,Babine,Babine,Viable,Y,2015,,6-7,6,Skeena,6d,Upper Skeena,,131,45,131,419,6-07, ,N,N,4535.607373,4351.974758,154,154,35.38623428,35.38623428,2020-01-21
43,793,61,Babine,Babine,Viable,Y,2015,,6-8,6,Skeena,6c,Upper Nechako,,140,46,140,421,6-08, ,N,N,9787.006696,9391.05643,159,159,16.93100166,16.93100166,2020-01-21
44,794,82,Moberly,Moberly,Viable,Y,2015,,7-30,7,Omineca,7Od,Omineca,,158,47,158,506,7-30, ,Y,Y,2414.709641,2168.914177,13,13,5.99378252,5.99378252,2020-01-21
45,794,82,Moberly,Moberly,Viable,Y,2015,,7-31,7,Omineca,7Pa,South Peace,,160,48,160,512,7-31, ,Y,Y,5397.647223,5353.238679,58,58,10.8345623,10.8345623,2020-01-21
46,795,7,Parsnip,Parsnip,Viable,Y,2015,,7-18,7,Omineca,7Oa,Upper Fraser,,180,49,180,458,7-18, ,N,N,3943.788279,3689.847039,181,181,49.05352402,49.05352402,2020-01-21
47,795,7,Parsnip,Parsnip,Viable,Y,2015,,7-17,7,Omineca,7Oa,Upper Fraser,,181,50,181,453,7-17, ,N,N,2735.833718,2702.660002,64,64,23.68037415,23.68037415,2020-01-21
48,796,65,Bulkley-Lakes,Bulkley-\Lakes,Viable,Y,2015,,6-9,6,Skeena,6c,Upper Nechako,,141,51,141,428,6-09,6-09A,N,N,6784.176918,6334.515722,111,111,17.52304459,17.52304459,2020-01-21
49,796,65,Bulkley-Lakes,Bulkley-\Lakes,Viable,Y,2015,,6-4,6,Skeena,6c,Upper Nechako,,144,52,144,408,6-04,6-09A,N,N,1295.850934,1270.907072,10,10,7.868395805,7.868395805,2020-01-21
50,797,66,Khutzeymateen,Khutzeymateen,Viable,Y,2015,2015,6-14,6,Skeena,6b,North Coast,,133,53,133,303,6-14, ,Y,Y,4274.196069,3788.914265,170,170,44.867733,44.867733,2020-01-21
51,798,64,Nation,Nation,Viable,Y,2015,,7-24,7,Omineca,7Oc,Mcleod Lake,,166,55,166,495,7-24, ,N,N,5095.499558,4861.836226,56,56,11.51828194,11.51828194,2020-01-21
52,798,64,Nation,Nation,Viable,Y,2015,,7-26,7,Omineca,7Oc,Mcleod Lake,,167,56,167,500,7-26, ,N,N,3342.340994,3212.252021,18,18,5.603545189,5.603545189,2020-01-21
53,798,64,Nation,Nation,Viable,Y,2015,,7-16,7,Omineca,7Oc,Mcleod Lake,,168,57,168,442,7-16,7-16B,N,N,457.9112579,453.367593,8,8,17.64572525,17.64572525,2020-01-21
54,798,64,Nation,Nation,Viable,Y,2015,,7-25,7,Omineca,7Oc,Mcleod Lake,,169,58,169,499,7-25, ,N,N,4777.061508,4064.388357,23,23,5.65890789,5.65890789,2020-01-21
55,798,64,Nation,Nation,Viable,Y,2015,,7-14,7,Omineca,7Oc,Mcleod Lake,,170,59,170,438,7-14, ,N,N,1684.307533,1616.144285,9,9,5.568809509,5.568809509,2020-01-21
56,799,70,Francois,Francois,Viable,Y,2015,,6-6,6,Skeena,6c,Upper Nechako,,142,60,142,418,6-06, ,Y,Y,2747.457172,2482.228963,18,18,7.25154686,7.25154686,2020-01-21
57,799,70,Francois,Francois,Viable,Y,2015,,6-5,6,Skeena,6c,Upper Nechako,,143,61,143,415,6-05, ,Y,Y,1032.549162,1016.501941,7,7,6.886361599,6.886361599,2020-01-21
58,799,70,Francois,Francois,Viable,Y,2015,,6-4,6,Skeena,6c,Upper Nechako,,144,62,144,412,6-04,6-04B,Y,Y,4920.343646,4279.109315,33,33,7.711885452,7.711885452,2020-01-21
59,800,67,North Coast,North \Coast,Viable,Y,2015,,6-11,6,Skeena,6b,North Coast,,136,63,136,299,6-11, ,N,N,5729.899827,5000.2432,166,166,33.19838333,33.19838333,2020-01-21
60,800,67,North Coast,North \Coast,Viable,Y,2015,,6-10,6,Skeena,6b,North Coast,,137,64,137,298,6-10, ,N,N,1437.899888,1247.214129,24,24,19.2428875,19.2428875,2020-01-21
61,801,10,Robson,Robson,Viable,Y,2015,,7-7,7,Omineca,7Ob,Fort George,,172,65,172,561,7-07, ,N,N,3002.861571,2944.570926,59,59,20.03687477,20.03687477,2020-01-21
62,801,10,Robson,Robson,Viable,Y,2015,,7-6,7,Omineca,7Ob,Fort George,,178,66,178,558,7-06, ,N,N,2014.086552,1991.180898,61,61,30.63508606,30.63508606,2020-01-21
63,801,10,Robson,Robson,Viable,Y,2015,,7-5,7,Omineca,7Oa,Upper Fraser,,182,67,182,542,7-05, ,N,N,3014.228227,2898.847597,77,77,26.56227875,26.56227875,2020-01-21
64,801,10,Robson,Robson,Viable,Y,2015,,7-3,7,Omineca,7Oa,Upper Fraser,,183,68,183,504,7-03, ,N,N,3779.038886,3674.655948,129,129,35.10532761,35.10532761,2020-01-21
65,801,10,Robson,Robson,Viable,Y,2015,,7-4,7,Omineca,7Oa,Upper Fraser,,185,70,185,523,7-04, ,N,N,2690.339673,2289.929931,60,60,26.20167542,26.20167542,2020-01-21
66,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,2015,2015,5-10,5,Cariboo,5c,North Chilcotin,,104,72,104,229,5-10, ,Y,Y,3432.0788,3326.89583,63,63,18.93657112,18.93657112,2020-01-21
67,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,2015,2015,5-9,5,Cariboo,5e,Central Coast,,109,73,109,292,5-09,5-08B,N,N,1217.00676,898.5925364,25,25,27.82128525,27.82128525,2020-01-21
68,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,2015,2015,5-8,5,Cariboo,5e,Central Coast,,110,74,110,287,5-08,5-08C,N,N,1514.688133,1343.23818,42,42,31.26772308,31.26772308,2020-01-21
69,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,2015,2015,5-11,5,Cariboo,5e,Central Coast,,111,75,111,231,5-11, ,Y,Y,2013.126004,1899.758896,56,56,29.47742462,29.47742462,2020-01-21
70,802,69,Tweedsmuir,Tweedsmuir,Viable,Y,2015,2015,6-2,6,Skeena,6c,Upper Nechako,,145,76,145,339,6-02, ,N,N,4847.774866,4232.305071,51,51,12.0501709,12.0501709,2020-01-21
71,803,15,Kitlope-Fiordland,Kitlope-\Fiordland,Viable,Y,2015,2015,6-3,6,Skeena,6b,North Coast,,135,78,135,392,6-03, ,Y,Y,6923.311489,5709.514822,115,115,20.14181709,20.14181709,2020-01-21
72,804,11,Blackwater-West Chilcotin,Blackwater-\West Chilcotin,Threatened,Y,2015,2015,5-13,5,Cariboo,5c,North Chilcotin,,103,79,103,235,5-13, ,Y,Y,8237.930022,8149.875802,15,15,1.840518832,1.840518832,2020-01-21
73,804,11,Blackwater-West Chilcotin,Blackwater-\West Chilcotin,Threatened,Y,2015,2015,5-12,5,Cariboo,5c,North Chilcotin,,105,80,105,234,5-12, ,Y,Y,10182.47581,10032.52806,20,20,1.993515491,1.993515491,2020-01-21
74,804,11,Blackwater-West Chilcotin,Blackwater-\West Chilcotin,Threatened,Y,2015,2015,6-1,6,Skeena,6c,Upper Nechako,,146,81,146,296,6-01, ,Y,Y,4242.002683,4048.219506,18,18,4.446399212,4.446399212,2020-01-21
75,806,12,Quesnel Lake North,Quesnel \Lake \North,Viable,Y,2015,,5-16,5,Cariboo,5a,Quesnel Highland,,101,82,101,251,5-16, ,Y,Y,1144.279982,1028.923753,30,30,29.15667915,29.15667915,2020-01-21
76,806,12,Quesnel Lake North,Quesnel \Lake \North,Viable,Y,2015,,5-15,5,Cariboo,5a,Quesnel Highland,,102,83,102,242,5-15,5-15C,N,N,1667.744699,1532.282455,36,36,23.49436378,23.49436378,2020-01-21
77,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-46,3,Thompson,3d,North Thompson,,35,84,35,80,3-46, ,Y,Y,3205.076698,2846.202234,75,75,26.35090256,26.35090256,2020-01-21
78,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-44,3,Thompson,3d,North Thompson,,36,85,36,76,3-44, ,N,N,1694.866739,1584.315746,75,75,47.33905029,47.33905029,2020-01-21
79,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-45,3,Thompson,3d,North Thompson,,38,86,38,77,3-45, ,Y,Y,2201.402264,2058.180434,61,61,29.63782883,29.63782883,2020-01-21
80,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-40,3,Thompson,3d,North Thompson,,40,87,40,72,3-40, ,Y,Y,1656.297543,1645.388688,28,28,17.01725578,17.01725578,2020-01-21
81,807,16,Wells Gray,Wells \Gray,Viable,Y,2015,2015,3-39,3,Thompson,3d,North Thompson,,42,88,42,70,3-39, ,Y,Y,1592.149736,1557.729153,25,25,16.0490036,16.0490036,2020-01-21
